type,ref,date,title,summary,lead_member,lead_members_party,department,MNIS_id,gender,constituency
Urgent questions,686 cc274-290,2020-12-16,Immigration Rules: Supported Accommodation,Urgent question on whether the changes to the immigration rules laid last week will reduce the numbers of asylum seekers in supported accommodation.,"Nokes, Caroline",Conservative Party,Home Office,4048,F,Romsey and Southampton North
Urgent questions,686 cc290-306,2020-12-16,Uyghur Slave Labour: Xinjiang,Urgent question on what the Government are doing to deal with the overwhelming evidence of the Chinese Government’s use of Uyghur slave labour in Xinjiang province.,"Duncan Smith, Iain",Conservative Party,"Foreign, Commonwealth and Development Office",152,M,Chingford and Woodford Green
Backbench debates,685 cc77-518WH,2020-12-10,Future of the Coach Industry,Motion that this House has considered the future of the coach industry. Agreed to on question. Sitting adjourned without Question put.,"Morris, Grahame",Labour Party,Department for Transport,3973,M,Easington
Backbench debates,685 cc490-945WH,2020-12-10,UK Relations with Qatar,Motion that this House has considered UK relations with Qatar. Agreed to on question.,"Carmichael, Alistair",Liberal Democrats,"Foreign, Commonwealth and Development Office",1442,M,Orkney and Shetland
Urgent questions,685 cc989-1005,2020-12-10,Future Relationship with the EU,Urgent question on the progress of the negotiations on the UK’s future relationship with the EU and preparations for the end of the transition period.,"Reeves, Rachel",Labour Party,Cabinet Office,4031,F,Leeds West
Urgent questions,685 cc714-735,2020-12-08,Covid-19 Vaccine Roll-out,Urgent question on the covid-19 vaccine roll-out.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,685 cc567-587,2020-12-07,UK-EU Future Relationship Negotiations and Transition Period,Urgent question on the progress of the negotiations on the UK's future relationship with the EU and preparations for the end of the transition period. Sitting suspended.,"Reeves, Rachel",Labour Party,Treasury,4031,F,Leeds West
Urgent questions,685 cc587-599,2020-12-07,Hong Kong: Sentencing of Pro-democracy Activists,"Urgent question on the sentencing of the Hong Kong pro-democracy activists Joshua Wong, Agnes Chow and Ivan Lam. Sitting suspended. Virtual participation in proceedings concluded (Order, 2 September).","Smith, Alyn",Scottish National Party,"Foreign, Commonwealth and Development Office",4738,M,Stirling
Backbench debates,685 cc232-258WH,2020-12-03,Nurseries and Early Years Settings,Motion that this House has considered the future of nurseries and early years settings. Motion lapsed.,"Brine, Steve",Conservative Party,Department for Education,4067,M,Winchester
Backbench debates,685 cc511-539,2020-12-03,"Digital Infrastructure, Connectivity and Accessibility","Motion that  this House notes that over one million households do not have an internet connection in the UK and 5.3 million people do not access the internet at all; further notes that repeated lockdowns as a measure against the spread of covid-19 have highlighted the urgency of achieving nationwide digital inclusion; notes that the Government’s decision to change its manifesto pledge from delivering world-class gigabit-capable broadband in 100 per cent of homes and businesses across the UK by 2025 to only 85 per cent will damage the economy and the levelling-up agenda; notes that any investment in superfast broadband without addressing the digital divide will damage social mobility; notes that digital exclusion has the biggest effect on lower-income households, increases the cost of living and widens health inequalities; believes that digital infrastructure is not a luxury resource but an essential requirement; and calls on the Government to invest in a digital catch-up scheme to support the post-covid economy, level up opportunity and lead to a fairer economy, stronger society and better lives.  Motion lapsed.","McVey, Esther",Conservative Party,"Department for Digital, Culture, Media and Sport",4084,F,Tatton
Backbench debates,685 cc209-232WH,2020-12-03,Covid-19: Access to and Acceptance of Cash,Motion that this House has considered access to and acceptance of cash during the covid-19 outbreak. Agreed to on question. Sitting suspended.,"Maynard, Paul",Conservative Party,Treasury,3926,M,Blackpool North and Cleveleys
Backbench debates,685 cc489-511,2020-12-03,Future of Coal in the UK,Motion that this House has considered the future of coal in the UK.  Agreed to on question. Sitting suspended.,"Holden, Richard",Conservative Party,"Department for Business, Energy and Industrial Strategy",4813,M,North West Durham
Urgent questions,685 cc313-331,2020-12-02,Arcadia and Debenhams: Business Support and Job Retention,Urgent question on support for business and the retention of jobs on the high street in light of the announcement of Arcadia entering administration and Debenhams going into liquidation.,"Miliband, Edward",Labour Party,"Department for Business, Energy and Industrial Strategy",1510,M,Doncaster North
Urgent questions,685 cc23-37,2020-11-30,Scheduled Mass Deportation: Jamaica,Urgent question on the scheduled mass deportation by charter plane to Jamaica.,"Ribeiro-Addy, Bell",Labour Party,Home Office,4764,F,Streatham
Backbench debates,684 cc1067-1086,2020-11-26,Coronavirus Outbreak: DWP Response,"Motion that this House notes the First Report of the Work and Pensions Committee, ""DWP's response to the coronavirus outbreak"", HC 178; and calls on the Government to increase relevant legacy benefits in line with increases to universal credit, to take steps to return people who have been inadvertently left worse off under universal credit compared with their previous benefits, and to suspend the no recourse to public funds visa condition for the duration of the coronavirus outbreak. Agreed to on question.","Timms, Stephen",Labour Party,Department for Work and Pensions,163,M,East Ham
Backbench debates,684 cc490-510WH,2020-11-26,International Development and Gender-based Violence,Motion that this House has considered international development and gender-based violence. Agreed to on question. Sitting adjourned without Question put.,"Mangnall, Anthony",Conservative Party,Foreign and Commonwealth Office,4762,M,Totnes
Backbench debates,684 cc503-490WH,2020-11-26,Covid-19: Freedom of Religion or Belief,Motion that this House has considered the effect of the covid-19 pandemic on freedom of religion or belief. Motion lapsed.,"Bruce, Fiona",Conservative Party,"Foreign, Commonwealth and Development Office",3958,F,Congleton
Backbench debates,684 cc1041-1067,2020-11-26,Climate Change Assembly UK: The Path to Net Zero,"Motion that this House welcomes the report of Climate Assembly UK; gives thanks to the citizens who gave up their time to inform the work of select committees, the development of policy and the wider public debate; and calls on the Government to take note of the recommendations of the Assembly as it develops the policies necessary to achieve the target of net zero emissions by 2050. Agreed to on question. Sitting suspended.","Jones, Darren",Labour Party,"Department for Business, Energy and Industrial Strategy",4621,M,Bristol North West
Urgent questions,684 cc690-714,2020-11-24,Leaseholders and Cladding,Urgent question on whether leaseholders are expected to pay for the removal of dangerous cladding from their homes.,"Betts, Clive",Labour Party,"Ministry of Housing, Communities and Local Government",394,M,Sheffield South East
Backbench debates,684 cc305-326WH,2020-11-24,Charity-funded Medical Research,Motion that this House has considered recognising and preserving the value of charity-funded medical research in the 2020 Spending Review. Agreed to on question.,"Davies, James",Conservative Party,"Department for Business, Energy and Industrial Strategy",4476,M,Vale of Clwyd
Backbench debates,684 cc553-570,2020-11-19,International Men’s Day,Motion that this House has considered International Men's Day. Agreed to on question.,"Bradley, Ben",Conservative Party,Government Equalities Office,4663,M,Mansfield
Backbench debates,684 cc236-929WH,2020-11-19,The Future of Work,Motion that this House has considered the future of work. Agreed to on question. Sitting adjourned without Question put.,"Oswald, Kirsten",Scottish National Party,Department for Work and Pensions,4413,F,East Renfrewshire
Backbench debates,684 cc219-236WH,2020-11-19,Fuel Poverty and Energy Price Caps,Motion that this House has considered fuel poverty and energy price caps. Agreed to on question.,"Day, Martyn",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4488,M,Linlithgow and East Falkirk
Backbench debates; Select Committee statements,684 cc1477-527,2020-11-19,Virtual Participation in Debate,"Statement on the publication of the sixth report of the Procedure Committee, Procedure under coronavirus restrictions: participation in debate, (HC 905 2019-21).","Bradley, Karen",Conservative Party,Procedure Committee,4110,F,Staffordshire Moorlands
Backbench debates,684 cc528-553,2020-11-19,Online Harms,Motion that this House recognises the need to take urgent action to reduce and prevent online harms; and urges the Government to bring forward the Online Harms Bill as soon as possible.  Agreed to on question. Sitting suspended.,"Wright, Jeremy",Conservative Party,"Department for Digital, Culture, Media and Sport",1560,M,Kenilworth and Southam
Urgent questions,684 cc461-471,2020-11-19,DHSC Answers to Written Questions,Urgent question on the Department of Health and Social Services' performance in answering written questions from right hon. and hon. Members.,"Chope, Christopher",Conservative Party,Department of Health and Social Care,242,M,Christchurch
Urgent questions,684 cc344-1409,2020-11-18,Towns Fund,Urgent question on the towns fund.,"Madders, Justin",Labour Party,"Ministry of Housing, Communities and Local Government",4418,M,Ellesmere Port and Neston
Urgent questions,684 cc326-344,2020-11-18,Northern Ireland Protocol: Implementation Proposals,Urgent question on the preparations for the implementation of the Northern Ireland Protocol.,"Haigh, Louise",Labour Party,Northern Ireland Office,4473,F,"Sheffield, Heeley"
Urgent questions,684 cc181-163,2020-11-17,Continuity Trade Agreements: Parliamentary Scrutiny,Urgent question on the proposed parliamentary scrutiny of future continuity trade agreements.,"Thornberry, Emily",Labour Party,Department for International Trade,1536,F,Islington South and Finsbury
Backbench debates,684 cc49-265WH,2020-11-17,Covid-19: Employment Rights,Motion that this House has considered the covid-19 outbreak and employment rights. Agreed to on question.,"Newlands, Gavin",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4420,M,Paisley and Renfrewshire North
Urgent questions,684 cc23-53,2020-11-16,Participation in Debates,Urgent question on participation in debates.,"Baron, John",Conservative Party,Leader of the House of Commons,1390,M,Basildon and Billericay
Backbench debates,683 cc1129-1155,2020-11-12,Smokefree England: Covid-19 and PHE Abolition,Motion that this House welcomes the Government's ambition for England to be smokefree by 2030; notes the increasing disparities in smoking rates between the richest and poorest in society; further notes the effect of the covid-19 outbreak and the opportunities and risks provided by the reorganisation of public health on the UK's ability to achieve this ambition; and calls on the Government to set out the further steps it plans to take to deliver a smokefree England by 2030. Agreed to on question.,"Foy, Mary Kelly",Labour Party,Department of Health and Social Care,4753,F,City of Durham
Backbench debates,683 cc484-508WH,2020-11-12,Dementia: Covid-19,Motion that this House has considered the effect of the covid-19 outbreak on people affected by dementia. Motion lapsed. Sitting adjourned without Question put.,"Abrahams, Debbie",Labour Party,Department of Health and Social Care,4212,F,Oldham East and Saddleworth
Backbench debates,683 cc459-484WH,2020-11-12,Breast Cancer Diagnosis and Services: Covid-19,Motion that this House has considered the effect of the covid-19 outbreak on breast cancer diagnosis and the future of breast cancer services. Motion lapsed.,"Tracey, Craig",Conservative Party,Department of Health and Social Care,4509,M,North Warwickshire
Backbench debates,683 cc1098-1129,2020-11-12,Refugee Communities: Covid-19,Motion that this House is deeply concerned by the ongoing humanitarian crisis facing refugees across the globe; has considered the secondary effects of the covid-19 pandemic on refugees and displaced persons in fragile or low-income states; and calls on the Government to provide urgent support to the world’s poorest and most vulnerable countries and communities as they deal with the covid-19 pandemic. Agreed to on question. Sitting suspended.,"Ali, Rushanara",Labour Party,"Foreign, Commonwealth and Development Office",4138,F,Bethnal Green and Bow
Urgent questions,683 cc1051-1067,2020-11-12,Hong Kong,Urgent question on the disqualification of pro-democracy lawmakers in Hong Kong.,"Moran, Layla",Liberal Democrats,"Foreign, Commonwealth and Development Office",4656,F,Oxford West and Abingdon
Urgent questions,683 cc779-922,2020-11-11,Covid-19 Lockdown: Homelessness and Rough Sleepers,Urgent question on plans to prevent homelessness and protect rough sleepers during the second national lockdown.,"Debbonaire, Thangam",Labour Party,"Ministry of Housing, Communities and Local Government",4433,F,Bristol West
Backbench debates,683 cc363-378WH,2020-11-10,Covid-19 Vaccine,Motion that this House has considered covid-19 vaccine. Agreed to on question.,"Wiggin, Bill",Conservative Party,Department of Health and Social Care,1428,M,North Herefordshire
Backbench debates,683 cc356-363WH,2020-11-10,Online Scams,Motion that this House has considered the matter of protecting people from online scams. Agreed to on question.,"Fovargue, Yvonne",Labour Party,Treasury,4034,F,Makerfield
Urgent questions,683 cc731-743,2020-11-10,Armed Forces: Covid-19 Deployment,Urgent question on the deployment of the armed forces to assist civilian authorities in dealing with the continuing covid pandemic. Sitting suspended.,"Healey, John",Labour Party,Ministry of Defence,400,M,Wentworth and Dearne
Backbench debates,683 cc324-330WH,2020-11-10,Probate Registry Service,Motion that this House has considered the effectiveness of the Probate Registry Service. Agreed to on question. Sitting suspended.,"Stevenson, John",Conservative Party,Home Office,3942,M,Carlisle
Backbench debates,683 cc299-324WH,2020-11-10,Obesity: Covid-19,Motion that this House has considered obesity and the covid-19 outbreak. Motion lapsed. Sitting suspended.,"Shannon, Jim",Democratic Unionist Party,Department of Health and Social Care,4131,M,Strangford
Urgent questions,683 cc609-619,2020-11-09,Jonathan Taylor: SBM Offshore,Urgent question on what steps HM Government have taken to secure the return of Jonathan Taylor to the UK in order to complete inquiries into corruption by SBM Offshore.,"Nokes, Caroline",Conservative Party,"Foreign, Commonwealth and Development Office",4048,F,Romsey and Southampton North
Backbench debates,683 cc561-577,2020-11-05,International Covid-19 Response: Innovation and Access to Treatment,Motion that this House has considered the UK Government's role in ensuring innovation and equitable access to treatment within the international covid-19 response. Agreed to on question.,"Chamberlain, Wendy",Liberal Democrats,Foreign and Commonwealth Office,4765,F,North East Fife
Backbench debates,683 cc538-561,2020-11-05,Coronavirus Business Interruption Loan Scheme,Motion that this House believes the Coronavirus Business Interruption Loan Scheme is not adequately fulfilling its role for SMEs across the UK; and urges Government intervention to ensure that all businesses are provided with the financial support they need. Agreed to on question.,"Thompson, Owen",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4482,M,Midlothian
Backbench debates,683 cc242-738WH,2020-11-05,Baby Loss: Covid-19,Motion that this House has considered the effect of the covid-19 outbreak on people experiencing baby loss. Agreed to on question.,"Mackrory, Cherilyn",Conservative Party,Department of Health and Social Care,4758,F,Truro and Falmouth
Urgent questions,683 cc475-483,2020-11-05,Coronavirus Regulations: Assisted Deaths Abroad,Urgent question on the impact of new coronavirus regulations on the ability of terminally ill adults to travel abroad for an assisted death.,"Mitchell, Andrew",Conservative Party,Department of Health and Social Care,1211,M,Sutton Coldfield
Urgent questions,683 cc185-196,2020-11-03,Nazanin Zaghari-Ratcliffe,Urgent question on Nazanin Zaghari-Ratcliffe.,"Siddiq, Tulip",Labour Party,"Foreign, Commonwealth and Development Office",4518,F,Hampstead and Kilburn
Urgent questions,683 cc161-185,2020-11-03,Lockdown: Economic Support,Urgent question on economic support available to individuals and businesses during and after the recently announced lockdown.,"Dodds, Anneliese",Labour Party; Cooperative Party,Treasury,4657,F,Oxford East
Backbench debates,683 cc41-62WH,2020-11-03,Rohingya Humanitarian Crisis: Covid-19,Motion that this House has considered the Rohingya humanitarian crisis and the effects of the covid-19 pandemic. Motion lapsed.,"Corbyn, Jeremy",Independent (affiliation),"Foreign, Commonwealth and Development Office",185,M,Islington North
Backbench debates,682 cc494-514WH,2020-10-22,Ministry of Justice: Legal Aid Spending,Motion that this House has considered the spending of the Ministry of Justice on legal aid. Motion lapsed. Sitting adjourned without Question put.,"Neill, Robert",Conservative Party,Ministry of Justice,1601,M,Bromley and Chislehurst
Backbench debates,682 cc473-494WH,2020-10-22,Integrated Activity Fund: Transparency,Motion that this House has considered transparency of the Integrated Activity Fund. Agreed to on question.,"Linden, David",Scottish National Party,"Foreign, Commonwealth and Development Office",4640,M,Glasgow East
Backbench debates; Select Committee statements,682 cc467-473WH,2020-10-22,Foreign Affairs Committee,"Statement on the publication of the fourth report of the Foreign Affairs Committee, A brave new Britain? The future of the UK's international policy (HC 380).","Tugendhat, Tom",Conservative Party,Foreign Affairs Committee,4462,M,Tonbridge and Malling
Backbench debates,682 cc920-1015,2020-10-20,Black History Month,Motion that this House has considered Black History Month. Agreed to on question. Sitting suspended.,"Oppong-Asare, Abena",Labour Party,Government Equalities Office,4820,F,Erith and Thamesmead
Backbench debates,682 cc238-252WH,2020-10-15,Sudan,Motion that this House has considered the June massacres in Sudan and the UK's support for Sudan's democratic transition. Agreed to on question.,"Baldwin, Harriett",Conservative Party,"Foreign, Commonwealth and Development Office",4107,F,West Worcestershire
Backbench debates,682 cc213-238WH,2020-10-15,Covid-19: Disability-Inclusive Response,Motion that this House has considered a disability inclusive covid-19 response. Motion lapsed. Sitting suspended.,"Cameron, Lisa",Scottish National Party,Department for Work and Pensions,4412,F,"East Kilbride, Strathaven and Lesmahagow"
Urgent questions,682 cc163-185,2020-10-13,Public Health Restrictions: Government Economic Support,Urgent question on economic support available to individuals and businesses in areas of the country subject to additional public health restrictions.,"Dodds, Anneliese",Labour Party; Cooperative Party,Department of Health and Social Care,4657,F,Oxford East
Backbench debates,681 cc1045-1093,2020-10-08,Planning and House Building,"Motion that this House welcomes the Government’s levelling up agenda and supports appropriate housing development and the Government’s overall housing objectives; further welcomes the Government’s consultation, Planning for the Future, updated on 6 August 2020, as a chance to reform housing and land use for the public good; welcomes the Government’s commitment to protect and restore the natural environment and bio-diversity; and calls on the Government to delay any planned implementation of the changes to the standard method for assessing local housing need proposed by the Government’s consultation, Changes to the Current Planning System, published on 6 August 2020, and Proposal 4 of the Government’s consultation, Planning for the Future, on a standard method for establishing housing requirement, until this House has had the opportunity to hold a debate and meaningful vote on their introduction. Agreed to on question. Sitting suspended.","Seely, Bob",Conservative Party,"Ministry of Housing, Communities and Local Government",4681,M,Isle of Wight
Backbench debates,681 cc1093-200,2020-10-08,"Digital, Culture, Media and Sport: Support Measures","Motion that this House has considered the spending of the Department for Digital, Culture, Media and Sport on support measures for DCMS sectors during and after the covid-19 pandemic. Agreed to on question.","Knight, Julian",Conservative Party,"Department for Digital, Culture, Media and Sport",4410,M,Solihull
Urgent questions,681 cc747-765,2020-10-06,Areas with Additional Public Health Restrictions: Economic Support,Urgent question on economic support available to individuals and businesses in areas of the country subject to additional public health restrictions.,"Dodds, Anneliese",Labour Party; Cooperative Party,Treasury,4657,F,Oxford East
Urgent questions,681 cc611-625,2020-10-05,CCRC Decision on 44 Post Office Prosecutions,Urgent question on the 44 Post Office prosecutions overturned by the CCRC.,"Jones, Kevan",Labour Party,"Department for Business, Energy and Industrial Strategy",1438,M,North Durham
Urgent questions,681 cc1772-1838,2020-09-30,Professional and Amateur Sport: Government Support,Urgent question on Government support for professional and amateur sport.,"Crouch, Tracey",Conservative Party,"Department for Digital, Culture, Media and Sport",3950,F,Chatham and Aylesford
Urgent questions,680 cc1131-1011,2020-09-24,Gender Recognition Act Consultation,Urgent question on the Government's response to the consultation on the Gender Recognition Act 2004 outlined in the Government Equalities Office update of 22 September.,"Blunt, Crispin",Conservative Party,Government Equalities Office,104,M,Reigate
Backbench debates,680 cc1209-41,2020-09-24,Occupied Palestinian Territories,"Motion, That this House has considered settlement and annexation of the Occupied Palestinian territories. Agreed to on question.","Kinnock, Stephen",Labour Party,"Foreign, Commonwealth and Development Office",4359,M,Aberavon
Backbench debates; e-petition debates,680 cc1184-1209,2020-09-24,Yemen,"Motion, That this House has considered the situation in Yemen. Agreed to on question.","Loughton, Tim",Conservative Party,"Foreign, Commonwealth and Development Office",114,M,East Worthing and Shoreham
Urgent questions,680 cc945-961,2020-09-23,End of Eviction Moratorium,Urgent question on the end of the eviction moratorium.,"Farron, Tim",Liberal Democrats,"Ministry of Housing, Communities and Local Government",1591,M,Westmorland and Lonsdale
Backbench debates,680 cc563-595,2020-09-17,Support for Self-employed and Freelance Workers,Motion that this House has considered support for the self-employed and freelance workers during the covid-19 outbreak.  Agreed to on question.,"Lucas, Caroline",Green Party,Treasury,3930,F,"Brighton, Pavilion"
Backbench debates,680 cc533-563,2020-09-17,Coronavirus Job Retention Scheme,"Motion that  this House welcomes the Coronavirus Job Retention Scheme and calls on the Government to examine, improve and extend that scheme’s operation and application to ensure that people who started work after the furlough scheme started are included and that this support continues until the UK’s economy is more robust, so that the goal of retaining as many jobs as possible is secured. Agreed to on question.","Gibson, Patricia",Scottish National Party,Treasury,4435,F,North Ayrshire and Arran
Backbench debates; Select Committee statements,680 cc527-532,2020-09-17,Covid-19 Pandemic: Government Response,"Statement on the publication of the fifth report of the Public Administration and Constitutional Affairs Committee, A public inquiry into the Government's response to the COVID-19 pandemic, (HC 541 2019-21).","Wragg, William",Conservative Party,Public Administration and Constitutional Affairs Committee,4429,M,Hazel Grove
Urgent questions,680 cc181-200,2020-09-15,Coronavirus,Urgent question on the response to coronavirus.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Backbench debates,679 cc855-1926,2020-09-10,Tourism: Covid-19,Motion that this House has considered support for the tourism industry after the covid-19 lockdown. Agreed to on question.,"Saxby, Selaine",Conservative Party,"Department for Digital, Culture, Media and Sport",4863,F,North Devon
Backbench debates,679 cc819-855,2020-09-10,Aviation Sector,Motion that this House has considered the aviation sector. Agreed to on question. Sitting suspended.,"Merriman, Huw",Conservative Party,Department for Transport,4442,M,Bexhill and Battle
Urgent questions,679 cc497-517,2020-09-08,Northern Ireland Protocol: UK Legal Obligations,Urgent question on the UK's commitments to its legal obligations under the Northern Ireland protocol.,"Haigh, Louise",Labour Party,Northern Ireland Office,4473,F,"Sheffield, Heeley"
Urgent questions,679 cc292-306,2020-09-03,Kick-start Scheme,Urgent question on the implementation of the kickstart scheme. Sitting suspended.,"Reynolds, Jonathan",Labour Party; Cooperative Party,Department for Work and Pensions,4119,M,Stalybridge and Hyde
Urgent questions,679 cc187-206,2020-09-02,"Foreign, Commonwealth and Development Office","Urgent question on the creation of the Foreign, Commonwealth and Development Office. Virtual participation in proceedings concluded (Order, 4 June).","Nandy, Lisa",Labour Party,"Foreign, Commonwealth and Development Office",4082,F,Wigan
Urgent questions,679 cc167-187,2020-09-02,Channel Crossings in Small Boats,Urgent question on those crossing the English Channel in small boats. Sitting suspended.,"Thomas-Symonds, Nick",Labour Party,Home Office,4479,M,Torfaen
Urgent questions,678 cc2169-1264,2020-07-22,Rented Homes: End of Evictions Ban,Urgent question on the implications of the end of the evictions ban for people renting their home.,"Debbonaire, Thangam",Labour Party,"Ministry of Housing, Communities and Local Government",4433,F,Bristol West
Urgent questions,678 cc2153-2168,2020-07-22,Intelligence and Security Committee: Russia Report,Urgent question on the Intelligence and Security Committee's report into Russia.,"Thomas-Symonds, Nick",Labour Party,Home Office,4479,M,Torfaen
Urgent questions,678 cc1999-2019,2020-07-21,BBC,"Urgent question on changes to the licence fee exemptions, programming and job losses at the BBC.","Cooper, Daisy",Liberal Democrats,"Department for Digital, Culture, Media and Sport",4769,F,St Albans
Urgent questions,678 cc1671-1680,2020-07-16,British Overseas Troops: Civil Liability Claims,Urgent question on the overseas operations Bill's impact on the rights of British troops serving overseas to bring civil liability claims against the Ministry of Defence and its implications for the Armed Forces Covenant.,"Healey, John",Labour Party,Ministry of Defence,400,M,Wentworth and Dearne
Urgent questions,678 cc1255-1267,2020-07-13,Sale of Arms: War in Yemen,Urgent question on the decision to resume the sale of arms to the Saudi-led coalition for use in the war in Yemen.,"Thornberry, Emily",Labour Party,Department for International Trade,1536,F,Islington South and Finsbury
Urgent questions,678 cc1115-1127,2020-07-09,Bahrain: Prisoners Under Sentence of Death,"Urgent question on whether he will use the UK’s constructive dialogue with the Government of Bahrain publicly to raise the cases of two prisoners who have been sentenced to death following torture, and who face a hearing this Monday when their death sentences may be confirmed.","Bottomley, Peter",Conservative Party,Foreign and Commonwealth Office,117,M,Worthing West
Urgent questions,678 cc846-865,2020-07-07,"Arts, Culture and Heritage: Support Package","Urgent question on the Government's support package for arts, culture and heritage industries.","Stevens, Jo",Labour Party,"Department for Digital, Culture, Media and Sport",4425,F,Cardiff Central
Urgent questions,678 cc829-846,2020-07-07,Coronavirus,Urgent question on coronavirus. Sitting suspended.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,678 cc171-185,2020-06-30,Lammy Review,Urgent question on the Government's implementation of the Lammy review.,"Lammy, David",Labour Party,Ministry of Justice,206,M,Tottenham
Urgent questions,678 cc153-171,2020-06-30,Civil Service Appointments,Urgent question on the appointment of the National Security Adviser and other senior civil service positions. Sitting suspended.,"Thomas-Symonds, Nick",Labour Party,Cabinet Office,4479,M,Torfaen
Urgent questions,678 cc37-50,2020-06-29,Xinjiang: Uyghurs,Urgent question on the mistreatment by the Chinese Government of Uyghurs in Xinjiang province. Sitting suspended.,"Duncan Smith, Iain",Conservative Party,Foreign and Commonwealth Office,152,M,Chingford and Woodford Green
Urgent questions,678 cc23-37,2020-06-29,Covid-19: Support and Accommodation for Asylum Seekers,Urgent question on support and accommodation for asylum seekers during the covid-19 pandemic. Sitting suspended.,"Thewliss, Alison",Scottish National Party,Home Office,4430,F,Glasgow Central
Urgent questions,677 cc1455-1034,2020-06-25,Universal Credit: Court of Appeal Judgment,"Urgent question on the Government's response to the decision of the Court of Appeal of 22 June 2020 in the case Johnson, Woods, Barrett and Stewart v. the Secretary of State for Work and Pensions.","Timms, Stephen",Labour Party,Department for Work and Pensions,163,M,East Ham
Backbench debates,677 cc995-1050,2020-06-18,Covid-19: BAME Communities,Unallotted backbench debate. Agreed to on question.,"Butler, Dawn",Labour Party,Department of Health and Social Care,1489,F,Brent Central
Urgent questions,677 cc945-959,2020-06-18,DFID-FCO Merger,Urgent question on the merger of the Department for International Development with the Foreign and Commonwealth Office.,"Chamberlain, Wendy",Liberal Democrats,Foreign and Commonwealth Office,4765,F,North East Fife
Urgent questions,677 cc807-826,2020-06-17,Coronavirus,Urgent question on coronavirus.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,677 cc646-665,2020-06-16,Economic Outlook and Furlough Scheme Changes,Urgent question on the economic outlook for the UK and the Government’s strategy to protect jobs and the economy in light of upcoming changes to the furlough scheme.,"Dodds, Anneliese",Labour Party; Cooperative Party,Treasury,4657,F,Oxford East
Urgent questions,677 cc523-541,2020-06-15,Social Distancing: 2 Metre Rule,Urgent question on publishing the review of the 2 metre social distancing rule.,"Clark, Greg",Conservative Party,Department of Health and Social Care,1578,M,Tunbridge Wells
Urgent questions,677 cc401-9,2020-06-11,Planning Process: Probity,Urgent question on the need to maintain public confidence in the probity of the planning process and his quasi-judicial role in these matters.,"Reed, Steve",Labour Party; Cooperative Party,"Ministry of Housing, Communities and Local Government",4268,M,Croydon North
Urgent questions,677 cc293-313,2020-06-10,Horizon: Sub-Postmaster Convictions,Urgent question on what steps the Government are taking to support sub-postmasters wrongly convicted in the Post Office Horizon scandal.,"Onwurah, Chi",Labour Party,"Department for Business, Energy and Industrial Strategy",4124,F,Newcastle upon Tyne Central
Urgent questions,677 cc159-175,2020-06-09,Future Relationship with the EU,Urgent question on the fourth round of the negotiations on the UK's future relationship with the European Union. Sitting suspended.,"Reeves, Rachel",Labour Party,Treasury,4031,F,Leeds West
Urgent questions,677 cc21-39,2020-06-08,Covid-19: R Rate and Lockdown Measures,Urgent question on the R value and lockdown.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,676 cc1029-1039,2020-06-04,Victims of the Troubles: Payment Scheme,Urgent question on the implementation of the payment scheme for victims of the troubles.,"Haigh, Louise",Labour Party,Northern Ireland Office,4473,F,"Sheffield, Heeley"
Urgent questions,676 cc1017-1029,2020-06-04,Abortion Regulations: Northern Ireland,Urgent question on the abortion regulations for Northern Ireland.,"Donaldson, Jeffrey M",Democratic Unionist Party,Northern Ireland Office,650,M,Lagan Valley
Urgent questions,676 cc1003-1017,2020-06-04,Public Health England Review: Covid-19 Disparities,Urgent question on the Public Health England review of disparities in risks and outcomes related to the covid-19 outbreak.,"Furniss, Gill",Labour Party,Government Equalities Office,4571,F,"Sheffield, Brightside and Hillsborough"
Urgent questions,676 cc846-865,2020-06-03,Covid-19: Aviation,Urgent question on covid-19 and the economic impact on aviation. Sitting suspended.,"Merriman, Huw",Conservative Party,Department for Transport,4442,M,Bexhill and Battle
Urgent questions,676 cc574-582,2020-05-20,Conduct of Business After the Whitsun Recess,Urgent question on the conduct of business after the Whitsun recess and if he will bring forward the necessary motions to continue the online participation of Members in the business of the House.,"Carmichael, Alistair",Liberal Democrats,Leader of the House of Commons,1442,M,Orkney and Shetland
Urgent questions,676 cc502-512,2020-05-19,Future Relationship with the EU: Negotiations,Urgent question on the third round of the negotiations on the UK's future relationship with the EU.,"Reeves, Rachel",Labour Party,Cabinet Office,4031,F,Leeds West
Urgent questions,676 cc491-502,2020-05-19,Coronavirus and Care Homes,Urgent question on coronavirus and care homes.,"Kendall, Liz",Labour Party,Department of Health and Social Care,4026,F,Leicester West
